ProductID,ProductName,MerchantID,ClusterID,ClusterLabel,CategoryID,Category,Price,StockQuantity,Description,Rating
27601,cda wc600 fully integrated dishwasher 15 place settings aaa rated,295,40627,CDA WC600 Integrated,2619,Dishwashers,599.99,134,"The CDA WC600 is a fully-integrated, 15-place setting dishwasher rated AAA, providing efficient cleaning and convenience.",3.0
14319,amd fx 8320 3.5ghz socket am3 16mb cache processor,4,5924,AMD FX-8320 3.5GHz  Box,2615,CPUs,500.0,89,"A high-performance CPU utilizing AMD FX 8320 3.5GHz, Socket AM3, and 16MB cache for efficient processing.",4.2
35449,siemens iq500 gs36nai31 tall freezer stainless steel,7,43349,Siemens GS36NAI31 Stainless Steel,2621,Freezers,1500.0,401,"A Siemens IQ500 GS36NAI31 tall freezer features advanced technology and modern design, providing ample storage space for food and drinks in a sleek stainless steel finish.",2.2
23636,nikon coolpix s32 digital camera white,75,39486,Nikon CoolPix S32,2617,Digital Cameras,299.99,148,"A compact point-and-shoot digital camera with a 3.2 megapixel sensor, ideal for casual snapshots and everyday use.",4.9
16381,intel core i7 8700 processor 3.20 ghz 12 mb smart cache,64,6616,Intel Core i7-8700 3.2GHz Tray,2615,CPUs,329.99,205,"This Intel Core i7-8700 processor features a clock speed of 3.20 GHz and a 12 MB Smart Cache, providing enhanced performance for demanding applications.",2.7
34091,candy gvs169dc3 freestanding a rated washing machine white,3,42637,Candy GVS 169DC3/1-80,2620,Washing Machines,299.99,6,"A freestanding, White, Energy Rating A, Candy GVS169DC3 Washing Machine",2.5
10123,samsung 49 8 series black ultra hd 4k dynamic crystal colour hdr 1000 smart tv ue49nu8000txxu,33,4422,Samsung UE49NU8000,2614,TVs,999.99,323,The Samsung UE49NU8000TXXU features a 49-inch 8-series Black Ultra HD 4K Dynamic Crystal Colour HDR 1000 Smart TV with enhanced color accuracy and a wide range of viewing angles.,4.7
1189,apple iphone 7 plus 256gb jet black unlocked,8,119,Apple iPhone 7 Plus 256GB,2612,Mobile Phones,599.99,317,"This is a high-performance smartphone featuring a 5.5-inch touchscreen display, 12-megapixel rear camera, and up to 16 hours of talk time, all packaged in a durable jet-black finish.",4.5
14481,intel xeon e5 2680v4 2.4 ghz 14 core 28 threads 35 mb cache lga2011 v3 socket box,51,5967,Intel Xeon E5-2680 V4 2.40GHz Box,2615,CPUs,999.99,7,"A high-performance server processor featuring 14 cores, 28 threads, and 35MB cache, designed for demanding workloads on LGA2011 V3 socket platform.",2.9
41288,lec ts55184w 172x55cm static freestanding fridge freezer white,6,44778,Lec TS55184W White,2622,Fridge Freezers,999.0,22,"This is a 172cm wide, 55cm deep freestanding refrigerator with freezer compartment, designed for compact kitchen spaces and available in white finish.",3.1
26236,daewoo kor6l65sl 20l microwave,153,40403,Daewoo KOR6L65SL Silver,2618,Microwaves,50.0,246,"This Daewoo Kor6L65SL 20L microwave oven features a compact design and high-capacity 20-liter turntable, ideal for reheating large quantities of food in a convenient and efficient manner.",4.7
44428,montpellier mab340c 60cm wide retro style freestanding tall fridge cream,6,46245,Montpellier MAB340C Cream,2623,Fridges,599.0,5,This Montpellier MAB340C 60cm wide retro-style freestanding tall fridge features a classic design and ample storage capacity for your kitchen.,3.8
42386,neff ksa 778 a1 side by side k hlschrank ka7902i30,298,45233,Neff KA7902I30 Stainless Steel,2622,Fridge Freezers,0.0,62,"A compact, energy-efficient side-by-side refrigerator with advanced humidification and ice-making capabilities.",3.8
40666,beko csg1582b fridge freezer black,22,44593,Beko Beko CSG1582B Black,2622,Fridge Freezers,599.99,111,"This Beko CSG1582B Fridge Freezer features a sleek black design, providing ample storage space for food and drinks in your home.",3.9
26179,mikrowellenger t mwg 2289 cb weiss,40,40343,Bomann MWG 2289 CB White,2618,Microwaves,2289.0,30,"The MikroWellenger T MWMG-2289 CB Weiss is a high-quality, analog thermomixger that features a stainless steel bowl and robust design for precise temperature control.",3.0
41991,lec tf5517w fridge freezer,129,45029,Lec TF5517W White,2622,Fridge Freezers,999.99,244,"The Lec TF5517W is a compact, energy-efficient refrigerator and freezer unit designed for residential use, featuring advanced cooling technology and modern styling.",4.2
46198,neff kl 225 a einbau k hlger t mit gefrierfach,300,46713,Neff K1525X8 White,2623,Fridges,999.0,16,"This is a high-quality, energy-efficient refrigerator with a freezer compartment, ideal for everyday use.",4.2
12501,lg electronics 28mt49df 27.5 inch 720p hd ready led tv with remote control,53,4865,LG 28MT49DF,2614,TVs,299.99,34,This LG Electronics TV features a 27.5-inch 720p HD Ready LED display and comes equipped with a remote control for convenient operation.,4.1
36992,bosch gsn29dw3p gefrierschrank a,119,43818,Bosch GSN29DW3P White,2621,Freezers,999.99,404,This Bosch GSN29DW3P refrigerator features advanced temperature control and humidity management for optimal food preservation.,2.4
10248,samsung ue82nu8000 82 inch 4k ultra hd hdr smart tv,132,4429,Samsung UE82NU8000,2614,TVs,999.99,383,"This 82-inch Samsung UE82NU8000 Smart TV features 4K Ultra HD and HDR for enhanced picture quality, with smart capabilities for streaming content from various platforms.",3.4
32754,hoover dxc58bc3 washing machine 8 kg load black 1500rpm spin 12 programmes a washing performance,3,42216,Hoover DXC 58BC3,2620,Washing Machines,599.99,426,This 8kg capacity washing machine features a powerful 1500rpm spin cycle and 12 programmes for optimal washing performance.,4.7
23104,pentax ricoh theta s 360 degree camera,157,39147,Ricoh Theta S,2617,Digital Cameras,499.95,127,"The Pentax Ricoh Theta S is a 360-degree panoramic camera that captures immersive, 360-degree photographs with a single shot, ideal for real estate, architecture, and virtual tour applications.",3.7
46966,igenix fridge with icebox white ig3920,158,47139,Igenix IG3921 White,2623,Fridges,1995.0,159,The Igenix fridge with icebox features advanced temperature control and an integrated icebox for convenient chilled storage.,2.5
26667,bosch sms46mw00g full size dishwasher white,7,40494,Bosch SMS46MW00G White,2619,Dishwashers,599.99,275,"This Bosch SMS46MW00G full-size dishwasher features a sleek white finish and advanced sanitizing technology, providing a reliable cleaning solution for heavy-duty loads.",5.0
2738,lg g2 16gb sim free smartphone uk version white,17,650,LG G2 16GB,2612,Mobile Phones,99.99,140,"This is a 2GB RAM, 16GB internal storage, SIM-free LG G2 smartphone specifically designed for the UK market, featuring a sleek white finish.",2.4
13957,amd ryzen 5 cpu 2600x 3.6 ghz pinnacle ridge sockel am4 boxed 4 25 19 mb box set yd260xbcafbox,36,5868,AMD Ryzen 5 2600X 3.6GHz  Box,2615,CPUs,299.0,25,"A high-performance CPU featuring 4 cores and 8 threads, clocked at 3.6 GHz, utilizing AMD Ryzen 5 technology on the Pinnacle Ridge Sockel AM4 platform.",4.9
46991,aeg einbau k hlschrank skb51021as,298,47160,AEG SKB51021AS Integrated,2623,Fridges,299.99,394,A compact and energy-efficient integrated refrigerator with advanced humidity control for optimal storage of perishable items,4.8
24990,indesit mwi3213ix/mwi3213ix,98,39831,Indesit MWI 3213 IX UK Stainless Steel,2618,Microwaves,0.0,1,,2.4
280,apple iphone 6s plus space grey 32gb 4g unlocked sim free,6,15,Apple iPhone 6S Plus 32GB,2612,Mobile Phones,599.99,298,"The Apple iPhone 6S Plus Space Grey 32GB is a 4G unlocked, Sim-free smartphone featuring advanced camera capabilities and a powerful A9 processor.",4.0
21882,coolpix w300,257,38920,Nikon CoolPix W300,2617,Digital Cameras,199.99,173,"The Coolpix W300 is a compact, waterproof, and shockproof point-and-shoot camera featuring a 13.2-megapixel sensor and 4K video capabilities.",2.2
42724,indesit ld70n1s wtd fridge freezer silver,22,45417,Indesit LD70N1SWTD Silver,2622,Fridge Freezers,200.0,397,The Indesit LD70N1S WTD Fridge Freezer in Silver is a 240L appliance featuring advanced humidity control and rapid defrost technology for efficient storage of perishable items.,3.6
39052,cda fw872/fw872,98,44260,CDA FW872 Integrated,2622,Fridge Freezers,0.0,238,The CDA FW872_FW872 is a high-performance network router designed for reliable and efficient data transmission.,3.4
10610,lg 43uk6300plb 43 4k ultra hd hdr led smart tv with freeview hd and freesat,6,4455,LG 43UK6300PLB,2614,TVs,599.0,471,"This LG 43UK6300PLB is a 43-inch 4K Ultra HD HDR LED Smart TV, featuring Freeview HD and Freesat connectivity.",2.4
37471,bosch serie 4 free standing fridge freezer in white,31,44056,Bosch KGV39VW32G White,2622,Fridge Freezers,899.99,331,"This Bosch Serie 4 free-standing fridge freezer features advanced temperature control and high-capacity storage, ideal for households seeking efficient food preservation.",3.2
42794,bosch kgv33vw31g fridge freezer smartfrost euronics exclusive,179,45486,Bosch KGV33VW31G White,2622,Fridge Freezers,599.99,352,"This Bosch KGV33VW31G Fridge Freezer features SmartFrost technology, providing advanced temperature control and humidity management for optimal food preservation.",3.0
45326,smeg fridges and freezers happy bar fab10hlp 220 240 v,314,46434,Smeg FAB10HLP Cream,2623,Fridges,999.99,213,"The Smeg FRD03BFPUS 220V and 240V Happy Bar Fab10HLP series of refrigerators and freezers feature sleek designs, advanced cooling systems, and modern finishes, perfect for upgrading any kitchen with a touch of Italian style and sophistication.",3.0
10190,samsung ue75nu7100kxxu 75 smart hdr 4k uhd television,130,4425,Samsung UE75NU7100,2614,TVs,599.99,310,"This Samsung UE75NU7100KXXU 75 Smart HDR 4K UHD Television features cutting-edge technology for an immersive viewing experience, with advanced picture quality and seamless connectivity options.",4.4
30253,bosch wawh8660gb 9kg serie 8 i dos washing machine 1400rpm white,301,41869,Bosch WAWH8660GB,2620,Washing Machines,599.99,446,The Bosch WAWH8660GB Series 8 iDos washing machine features a high-speed 1400 RPM spinning drum and advanced washing technology for improved cleaning results.,3.4
11723,65inch 4k uhd led hdr smart tv wifi tvplus silver,123,4620,Samsung UE65MU6400,2614,TVs,999.99,155,"This 65-inch 4K UHD LED HDR Smart TV features Wi-Fi connectivity and a sleek silver finish, providing an immersive viewing experience with crystal-clear visuals.",2.8
17543,intel xeon e5520 processor 2.26 ghz 8 mb smart cache,14,7564,Intel Xeon Quad-core E5520 2.26GHz Socket 1366 Tray,2615,CPUs,1036.99,257,"The Intel Xeon E5520 processor features a 2.26 GHz clock speed and 8 MB of Smart Cache memory, providing high-performance computing capabilities.",2.2
34285,bosch serie 2 wab28261gb 6kg load 1400 spin washing machine with activewater technology white,82,42749,Bosch WAB28261GB,2620,Washing Machines,599.99,164,"This Bosch Serie 2 WAB28261GB washing machine features ActivWater Technology, which optimizes water consumption and energy efficiency, for a reliable cleaning experience with minimal environmental impact.",2.3
40091,indesit ld85f1 frost free fridge freezer silver,22,44459,Indesit LD85F1S Silver,2622,Fridge Freezers,299.99,130,"This Indesit LD85F1 Frost Free Fridge Freezer is a silver appliance featuring advanced temperature control and efficient energy consumption, ideal for storing food at optimal temperatures.",2.4
26090,tower t24019r infinity digital solo microwave with mirror door 800 w 20 liters red,17,40254,Tower T24019R Red,2618,Microwaves,799.99,187,"This tower microwave features a compact design, 800W power, and a 20-liter capacity, making it ideal for reheating small meals while adding a touch of style with its mirror door and bold red color.",2.8
44270,smeg fab10ruj 55cm wide retro style right hinge freestanding fridge union jack,6,46220,Smeg FAB10RUJ Union Jack Retro,2623,Fridges,899.0,70,"This Smeg freestanding fridge features a 55cm wide retro-style design with a right-hinge door, and is adorned with the iconic Union Jack flag.",4.9
23271,panasonic lumix dmc g70 inkl. lumix g vario 3 5 5 6 14 140 mm power ois schwarz,247,39202,Panasonic Lumix DMC-G70 + 14-140mm,2617,Digital Cameras,599.99,15,"A compact point-and-shoot camera featuring a 20-megapixel sensor and 4x optical zoom, with image stabilization for improved low-light performance.",3.5
10128,samsung ue43nu7400 43 inch dynamic crystal colour 4k ultra hd certified hdr smart tv charcoal black 2018 model energy class a,17,4423,Samsung UE43NU7400,2614,TVs,249.99,360,"This Samsung Ue43Nu7400 Smart TV features 4K Ultra HD Certified HDR and Dynamic Crystal Colour for enhanced visual quality, with a 43-inch Energy Class A screen in Charcoal Black, released in 2018.",3.2
28313,candy integrated slimline dishwasher in black,31,40788,Candy CDI2L952 Integrated,2619,Dishwashers,399.99,154,"A compact, sleek candy dispenser designed for modern kitchens, featuring a durable black finish and easy-to-use interface.",4.1
15809,intel core i5 7300u 2.6 ghz 2 cores 4 threads 3 mb cache lga1356 socket oem,51,6421,Intel Core i5-7300U 2.6GHz Tray,2615,CPUs,299.99,430,"This Intel Core i5-7300U processor features a 2.6 GHz clock speed, 2 cores and 4 threads, 3 MB of cache memory, and an LGA 1356 socket.",2.6
46901,amica stand k hlschrank wei vks15460w,298,47079,Amica VKS 15460 W White,2623,Fridges,999.99,158,"A compact, all-in-one refrigerator with a sleek design and advanced cooling technology for optimal storage of perishable items.",3.4
1158,huawei p20,21,114,Huawei P20,2612,Mobile Phones,599.99,492,"The Huawei P20 is a high-performance smartphone featuring a 5.8-inch OLED display, dual-camera setup, and advanced AI-powered capabilities.",4.5
44832,gorenje riu6f091awuk integrated undercounter fridge a energy rating 60cm wide,3,46321,Gorenje RIU6F091AWUK Integrated,2623,Fridges,599.99,249,"This is an Energy Rated, Integrated Undercounter Fridge with a Width of 60cm, ideal for compact kitchen spaces.",2.0
46444,liebherr ikbp 2360 20,119,46833,Liebherr IKBP 2360 Integrated,2623,Fridges,20.0,372,"The Liebherr IKBP 2360-20 is a hydraulic power pack that provides a reliable source of high-pressure energy for various applications, including construction and mining equipment.",3.9
2174,alcatel shine lite 5080x satin gold unlocked,3,402,Alcatel Shine Lite,2612,Mobile Phones,499.99,356,"The Alcatel Shine Lite 5080X Satin Gold Unlocked features a sleek and durable design with advanced camera capabilities and a long-lasting battery, ideal for everyday use.",2.1
1799,iphone se 64gb silver,42,278,Apple iPhone SE 64GB,2612,Mobile Phones,499.0,57,"The iPhone SE (64GB, Silver) is a compact and portable smartphone with a 4.7-inch display and advanced camera capabilities, ideal for everyday use.",4.6
42889,siemens set side by side k hl gefrierkombination edelstahl antifingerprint nofrost ka92dhi31,298,45578,Siemens KA92DHI31 Stainless Steel,2622,Fridge Freezers,999.99,208,"A siemens set side by side refrigerator with khl gefrierkombination featuring edelstahl (stainless steel) construction, anti-fingerprint coating and no frost technology.",4.5
26041,samsung ms28j5215as solo microwave silver,7,40208,Samsung MS28J5215AS/EU Silver,2618,Microwaves,99.99,445,This Samsung MS28J5215AS Solo Microwave Silver is a 0.9 cu. ft. compact countertop oven with 450W power and a 7-in-1 cooking function.,4.6
34732,bosch gud15a50gb classixx built in under integrated freezer 0 82m a,128,43262,Bosch GUD15A50GB Integrated,2621,Freezers,109.99,118,"A compact, integrated, and fully-equipped ClassiXx refrigerator feature for enhanced kitchen functionality and energy efficiency.",4.9
33225,samsung ww90j5456fw ecobubble freestanding washing machine 9kg load a energy rating 1400rpm spin white/grey,43,42337,Samsung WW90J5456FW/EU,2620,Washing Machines,599.99,420,"This Samsung WW90J5456FW freestanding washing machine features an EcoBubble technology with a 9kg capacity, achieving an energy rating of 1400rpm spin and available in white and grey colours.",4.3
29226,smeg st2fabwh dishwasher,324,41135,Smeg ST2FABWH Integrated,2619,Dishwashers,999.0,148,The SMEG St2FabWh dishwasher features advanced noise-reducing technology and 8 drying programs for optimal cleaning results.,2.5
23124,rollei compactline 83 digital camera 8 megapixels panorama function with zoom and multi snapshot function black,17,39153,Rollei Compactline 83,2617,Digital Cameras,59.99,83,"The Rollei CompactLine 83 is an 8-megapixel digital camera featuring a panoramic mode, adjustable zoom, and multiple snapshot functionality, all packaged in a compact black design.",4.5
25273,sharp r344slm 25l 900w digital microwave silver,125,39908,Sharp R344SLM Silver,2618,Microwaves,100.0,45,"This high-performance digital microwave features a powerful 900-watt output and sleek silver design, ideal for quickly reheating food in a compact space.",2.4
35899,indesit inf901eaa 54cm wide tall integrated upright in column freezer white,15,43425,Indesit INF901EAA Integrated,2621,Freezers,99.99,197,"This is a 54cm wide, tall integrated upright in column freezer with a compact design, ideal for small kitchens or for use in conjunction with other appliances.",2.3
38101,liebherr cuef 2811 20,119,44124,Liebherr CUef 2811 Silver,2622,Fridge Freezers,0.0,259,The Liebherr Cuef 2811-20 is a portable concrete mixer suitable for small-scale construction and concrete finishing applications.,4.4
39157,hisense free standing fridge freezer frost free in black,31,44276,Hisense RB381N4WB1 Black,2622,Fridge Freezers,599.99,17,"This is a high-quality, energy-efficient free-standing fridge freezer with a frost-free feature, designed to maintain a consistent temperature and preserve food freshness.",3.1
3359,energizer energy 100 sim mobile phone double sim bluetooth 2g ip54 black,17,1153,Energizer Energy 100 Dual SIM,2612,Mobile Phones,0.0,150,"This is a 2G enabled, Bluetooth-enabled, and IP54-rated Energizer Energy 100 Sim Mobile Phone with dual SIM functionality and black finish.",2.2
41177,white knight integrated ff250ihe fridge freezer 55cm,293,44742,White Knight FF250IHE White,2622,Fridge Freezers,199.99,131,"This product features a compact design with a 55cm width, ideal for small kitchens or apartments.",2.5
37604,bosch kiv86vs30g built in fridge freezer 60/40 low frost sliding hinge,131,44067,Bosch KIV86VS30G Integrated,2622,Fridge Freezers,999.99,138,"This appliance features a 60/40 split capacity, low-frost technology, and a sliding hinge design for convenient access to the freezer compartment.",3.8
1665,grade a huawei p9 titanium grey 5.2 32gb 4gb unlocked sim free,5,240,Huawei P9,2612,Mobile Phones,399.99,86,"This Huawei P9 Titanium Grey smartphone features a 5.2-inch display, 32GB of internal storage, and 4GB of RAM, making it an ideal choice for general use.",3.5
29109,whirlpool adg522x dishwasher,324,41075,Whirlpool ADG 522 X Integrated,2619,Dishwashers,499.0,312,"This dishwasher features advanced drying technology and a large capacity to accommodate up to 16 place settings, ensuring efficient cleaning and minimal water consumption.",2.1
37523,bosch kis86af30g fridge freezer low frost 60/40 split fixed hinge a,131,44060,Bosch KIS86AF30G Integrated,2622,Fridge Freezers,200.0,84,"This 60/40 split fixed hinge refrigeration system features Bosch’s innovative Low Frost technology, ensuring reduced energy consumption and maintenance requirements.",3.8
42394,neff kg836a3 int. k hl gefrierkombination ki6873d40 eek a,298,45237,Neff KI6873D40 Integrated,2622,Fridge Freezers,9000.0,102,"A high-performance, integrated freezer with advanced key locking and secure compartment functionality.",2.7
40794,aeg sce8192vts extra height 185cm high built in frost free fridge freezer,328,44628,AEG SCE8192VTS Integrated,2622,Fridge Freezers,599.99,491,"This AEG SCE8192VTS Extra Height Fridge Freezer features an additional 10cm of extra headroom, making it ideal for tall households, while maintaining a spacious interior with frost-free technology.",3.8
46007,siemens ki21rad40 eingebaut 144l a wei,119,46647,Siemens KI21RAD40 Integrated,2623,Fridges,999.99,433,"The Siemens Ki21Rad40 is a 144L water tank featuring a high-quality integrated design, ideal for various applications requiring a reliable and compact storage solution.",4.3
42286,miele kfn29683d fridge freezer,323,45180,Miele KFN 29683 D brws White,2622,Fridge Freezers,999.99,93,"The Miele KFN29683D features a high-capacity 313-liter capacity, advanced sensor technology for optimal temperature control, and a durable design to withstand daily household use.",3.0
37106,lec int800fz built in freezer euronics,179,43928,Lec INT800FZ Integrated,2621,Freezers,499.99,202,"The LEC Int800FZ Built-in Freezer from Eurographics features advanced temperature control and energy efficiency, perfect for keeping beverages chilled.",3.3
14124,intel core i7 6850k s2011 v3 3.60ghz 6 core 15mb cache cpu,8,5889,Intel Core i7-6850K 3.6GHz  Box,2615,CPUs,430.0,426,"A high-performance CPU with six cores and 15MB of L3 cache, clocked at 3.60GHz.",3.2
44774,russell hobbs white 17l counter top mini fridge rhclrf17,19,46309,Russell Hobbs RHCLRF17 White,2623,Fridges,29.99,213,"This Russell Hobbs White 17L Counter Top Mini Fridge features compact storage and cooling solutions, ideal for small kitchens or offices.",3.1
27476,zanussi zdf26020xa full size dishwasher stainless steel,7,40607,Zanussi ZDF26020XA Stainless Steel,2619,Dishwashers,599.99,273,The Zanussi ZDF26020XA Full Size Dishwasher features stainless steel construction and advanced cleaning technology for efficient and quiet operation.,4.2
32276,hoover hl41472d3w link 7kg 1400rpm freestanding washing machine white,6,42119,Hoover HL4 1472D3/1-80,2620,Washing Machines,179.99,365,"This freestanding washing machine features a powerful 1400rpm motor and weighs 7kg, making it an efficient and compact addition to any laundry room.",3.3
24274,beko moc20100w/moc20100w,98,39704,Beko MOC20100W White,2618,Microwaves,0.0,137,The Beko MOC20100W/MOC20100W is an 2000W double electric oven with advanced features and energy-efficient technology.,2.2
2632,huawei g8,48,605,Huawei G8,2612,Mobile Phones,299.99,324,"The Huawei G8 is a mid-range smartphone featuring a 6.1-inch display, octa-core processor, and 4GB of RAM, with advanced camera capabilities and a long-lasting battery.",4.7
45902,aeg einbau k hlschrank sfb58821as,298,46609,AEG SFB58821AS Integrated,2623,Fridges,199.99,344,This AEG Einbau K HLSchrank SFB58821AS features a compact and efficient refrigeration system designed to maintain optimal temperatures for various food items.,3.1
45793,133litre larder fridge auto defrost class a graphite,123,46572,Hotpoint CTL55G Grey,2623,Fridges,133.0,493,A 133litre larder fridge features an auto defrost function and is constructed from high-quality Graphite Class A materials.,5.0
13203,lg electronics 65uk6100 world cup fernseher,119,5262,LG 65UK6100PLB,2614,TVs,199.99,432,The LG Electronics 65UK6100 World Cup TV is a high-performance 4K UHD smart TV featuring a stunning display and immersive audio experience perfect for watching the FIFA World Cup.,4.0
36534,indesit ui8f1cw freezer,161,43601,Indesit UI8 F1C W White,2621,Freezers,50.0,370,"This Indesist UI8F1CW freezer features a compact design with advanced cooling technology to maintain optimal temperatures, ensuring efficient preservation of food and beverages.",3.5
34405,zanussi zwd81683nw lindo1000 1600rpm washer dryer 8kg/6kg load class a white,147,42846,Zanussi ZWD81683NW,2620,Washing Machines,999.99,89,"A compact and energy-efficient twin-wash system, the Lindo1000 washer dryer offers 1600rpm spin speed and load classes of A for both 8kg and 6kg wash loads, making it suitable for small to medium-sized households.",4.9
17151,hewlett packard enterprise intel xeon e5630 2.53ghz 12mb l3 processor,64,7159,HP Intel Xeon E5630 2.53GHz Upgrade Tray,2615,CPUs,999.99,372,"A 2 sentence technical description of the Hewlett Packard Enterprise Intel Xeon E5630 2.53GHz 12MB L3 processor, featuring a quad-core CPU and large cache memory for improved performance and efficiency.",4.8
39469,beko american style four door frost free fridge freezer in s/steel gne60520dx,125,44333,Beko GNE 60520 DX Stainless Steel,2622,Fridge Freezers,599.99,93,"This Beko American-style refrigerator features a spacious interior with a four-door design, including a large freezer compartment and ample storage space, all encased in durable S-Steel construction.",3.6
26366,bosch smv40c30gb standard fully integrated dishwasher,130,40467,Bosch SMV40C30GB Integrated,2619,Dishwashers,800.0,472,The Bosch SMV40C30GB Standard Fully Integrated Dishwasher features advanced moisture-sensing technology and quiet operation for efficient cleaning and minimal disturbance.,4.0
36041,miele fn28262wh 60cm frost free freezer white,301,43458,Miele FN 28262 ws White,2621,Freezers,999.99,79,"This Miele FN28262WH 60cm Frost-Free Freezer features a compact design and advanced frost-free technology to maintain optimal temperatures, ensuring the preservation of frozen foods for an extended period.",4.7
43709,beko bl21 built under larder fridge,294,46144,Beko BL21 Integrated,2623,Fridges,599.99,222,A Beko BL21 built-under larder fridge is a type of integrated refrigerator designed for seamless integration with the floor and surrounding kitchen design.,2.9
28757,smeg df612aew freestanding a rated dishwasher white,3,40945,Smeg DF612AEW White,2619,Dishwashers,999.95,352,"This Smeg DF612AEW freestanding A-rated dishwasher features a sleek, white design that efficiently cleans and sanitizes dishes with advanced technology.",3.4
29606,hoover hed122s 60cm dishwasher silver,179,41339,Hoover HED122S/80 Silver,2619,Dishwashers,299.99,307,"This is a 60cm silver dishwasher from Hoover, designed for efficient cleaning and space-saving design.",4.6
12275,lg oled65e7v 65 inch 4k hdr smart tv black,3,4789,LG OLED65E7V,2614,TVs,999.99,456,"The LG OLED65E7V is a 65-inch 4K HDR smart TV featuring an OLED panel with high contrast and color accuracy, delivering enhanced picture quality for an immersive viewing experience.",4.2
